;;;
 Рыболовное снаряжение [50014023] ;;;
Парусные судна [50014131];5000;;
Байдарки/ Надувные лодки [50014129] ;5000;;
Лодки с головой дракона/ аксессуары к ним [50014132];5000;;
Прочее [50014133] ;350;;
Моторные лодки [50014208] ;5000;;
Каноэ [50014130] ;5000;;
Весла / аксессуары для гребли [50014214] ;600;;
Серфинг/Виндсерфинг/Водные лыжи [754];;;
Виндсерфинг [50014197];500;;
Противоскользящий коврик [50014166];500;;
Доска для серфинга [50014159];2000;;
Фал (трос для крепления к катеру) для водных лыж [50014191];1000;;
Спасательный жилет [50014193] ;500;;
Чехлы для водных лыж [50014190];500;;
Рюкзаки/чехлы для серфинга [50014167] ;500;;
Ботинки для водных лыж [50014192];1000;;
Водные лыжи [50014179];5000;;
Страховой лиш [50014163];500;;
Перчатки для водных лыж [50014194] ;500;;
Руль [50014162] ;500;;
Воск [50014164] ;500;;
Накладки на края доски для серфинга [50014168];500;;
Прочее оборудование [50014215] ;500;;
Одежда для серфинга [50014165];700;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;5000;;
;;;
;;;
;;;
Камуфляж/ Одежда для туризма и активного отдыха [658];;;
Майка [50019130] ;450;;
Брюки/шорты [50019136] ;700;;
Ветровка [50019125];150;;
Пуховая куртка [50019135];800;;
Футболка [50019127];500;;
Костюмы /форма [50023161] ;500;;
Рубашка [50019126];500;;
Свитер [50019133];700;;
Военные куртки/пальто [50023122];800;;
Толстовки [50023088];800;;
Куртка [50019128];1800;;
Бронежилет [50019131] ;3100;;
Юбка / платье [50023089];600;;
Одежда/аксессуары для маскировки [50023090] ;500;;
Ботинки/Обувь для туризма и активного отдыха [675];;;
Текстильная обувь для туризма и активного отдыха [50019342];700;;
Ботинки/Обувь для туризма и активного отдыха [50019140];2100;;
Другое приспособление ботинок [121450021] ;500;;
Шнурок [121408017];500;;
Стелька [121462022] ;500;;
Заполированность ботинка [121426019];500;;
Рюкзаки/сумки для туризма и активного отдыха [680];;;
Сумка на пояс [50019157] ;400;;
Сумка на ногу [50019223];300;;
Прочие сумки [50019160];800;;
Аксессуары для сумок [50019161] ;200;;
Тактический рюкзак [50019154] ;500;;
Сумка на плечо [50019155];500;;
Рюкзак Andai [50023086] ;500;;
Воздушно-десантные рюкзаки [50023087];500;;
;;;
;;;
;;;
Палатки и аксессуары [785];;;
Палатки для кемпинга/туризма/альпинизма [50019578] ;5000;;
Палатки при стихийных бедствиях [50019582];5000;;
Автомобильные палатки [50019580];5000;;
Портативный душ [50019581];3700;;
Палатки и навесы [50019579] ;5000;;
Пляжные зонты [50019583];1400;;
Детские палатки [50020172];1000;;
Аксессуары для палаток [50019584];500;;
;;;
;;;
Инструменты/Ножи/Лопаты [783];;;
Топор [50018247];800;;
Карабин [50018827] ;200;;
Универсальные ножи [50018175] ;500;;
Веревки/тросы [50018221];500;;
Швейцарский армейский нож [50019694] ;500;;
Многофункциональные складные инструменты [50014822];100;;
Складные ножи [50018248] ;350;;
Прочее [50014824] ;200;;
Гаджеты для отдыха/туристические мелочи [50015743] ;500;;
Лупа [50018157] ;500;;
 Чехлы для ножей [50019695];150;;
Саперная лопата [50014823] ;700;;
Нож стана защищает нож, котор нужно отнести [121416012] ;????;;
;;;
;;;
;;;
Питьевая посуда / Контейнеры [814];500;конечная????;
;;;
;;;
;;;
;;;
Туристические коврики / Раскладушки [50014774];800;;
Насосы / Мешки [50016111];500;;
Влагостойкие коврики [50014771];1700;;
Тенты/Маты/Матрасы [50014772] ;500;;
Подушки туристические [50014773] ;250;;
;;;
;;;
Мебель для улицы/ Гамаки [784];;;
Раскладушки [50013927];5000;;
Уличный комплект стол со стульями [50013893];5000;;
Гамаки [50013895];3000;;
Открытые стулья/табуреты [50013894];3000;;
Прочее [50013906];500;;
Надувные матрасы [50015229] ;1500;;
Коврики для пикника [50013899];500;;
Качели [50013905] ;5000;;
Уличные столы и стулья [50018828];5000;;
;;;
;;;
Навигаторы / Средства связи / Компасы / Часы [815];;;
GPS / электронное навигационное оборудование [50014780];310;;
Компас / термометр / барометр / высотомер [50014779] ;500;;
Шагомеры/Пульсометры/Альтметры [50015750] ;350;;
Часы туристические [50014781] ;220;;
Радио / оборудование связи [50014782] ;800;;
;;;
;;;
;;;
Защита /Спасательное оборудование [690];;;
Средства безопасности для занятий спортом [50018163];500;;
Прочее защитно- спасательное оборудование [50018164];500;;
Пластыри/средства для неотложной медицинской помощи [50018182];500;;
Респираторы/Защитные маски [50018169] ;300;;
Спасательное одеяло [50018161] ;500;;
Ручная пила-трос для выживания [50018172] ;300;;
Свисток [50018160];200;;
Набор для чрезвычайных ситуаций / антисейсмический набор [50018167];500;;
Веревки/тросы [50018170] ;500;;
Аптечка первой помощи / Аптечка [50018159];500;;
Зеркало для подачи сигнала [50018168] ;300;;
Наборы для выживания [50014499];500;;
Москитные сетки/Защитные маски [50018166];300;;
Спасательный/ светящийся жезл [50018162];200;;
Нагревает вещь [121464013] ;1000;;
;;;
3071;;;
;;;
;;;
Прочее [50016158] ;500;;
Веревки для белья [50016152];500;;
Адаптеры/переходники для розеток [50016153];200;;
;;;
TSA замки [50016132];500;;
Прочие товары для безопасности [50016138] ;500;;
Обычные замки [50016133];500;;
;;;
;;;
Альпинистские палки/Треккинговые палки [50014762];400;;
;;;
;;;
;;;
Спальные мешки [50013908] ;2800;;
;;;
;;;
;;;
Прочие товары для активного отдыха [2203];500;;
