;;вес;;;
; Зарядные устройства [50024118];250;;;
; Кабель для передачи данных [50050368] ;200;;;
; Прочие аксессуары [50024121] ;250;;;
;;;;;
6;;;;;
; Электрические щетки для уборки [50008555] ;6000;;;
; Бытовые и мини-пылесосы [50008554] ;6000;;;
; Паровая швабра [50022648];3800;;;
; Паровые щетки [50008553] ;800;;;
; Швейные машинки [50005926] ;6000;;;
; Домофоны, рации [50008563];500;;;
; Утюги [50008552] ;5000;;;
; Электрические одеяла [50000360] ;3000;;;
; Сушилки [50012101];1500;;;
; Машина пара чистая [121468015];2000;;;
; Делает ботинки [121434057] ;1000;;;
; Осушители воздуха [50017072] ;500;;;
; Очистители воздуха [350402];440;;;
; Машинки для удаления катышков [350310] ;400;;;
; Обогреватели и тепловые пушки [350404];6000;;;
; Пароочиститель бытовой [50013195] ;6000;;;
; Проводные и DECT-телефоны [50008542] ;2700;;;
; Вентиляторы и охладители воздуха [50008557];700;;;
; Увлажнители/осушители воздуха [350407] ;700;;;
; Сушилки для рук [350307] ;3000;;;
; Аромаустройства и распылители [50006278] ;500;;;
; Подогреватели для чашек/Термопосуда [50002901] ;500;;;
; Бытовые насосы [50008372];1000;;;
; Бытовые кислородные машины [50002899] ;2000;;;
; Электронные гигрометры [350409] ;1000;;;
; Электрофумигаторы бытовые [50008566];500;;;
;;;;;
; Элементы систем вентиляции [350408] ;500;;;
;;;;;
;;700;;;
; Прочие аксессуары для бытовой техники [50004394];140;;;
; Радиоустройства и аксессуары [50012955] ;500;;;
; Аксессуары и дополнения для пылесосов [50011869] ;400;;;
; Аксессуары для швейных машин [50011870];100;;;
; Компоненты систем вентиляции [50011871];500;;;
; Аксессуары для увлажнителей и очистителей [50011872];150;;;
; Устройства для чистки паром [50011868];1000;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
7;;;;;
; Соковыжималки/Миксеры [50012097];1100;;;
; Кофемашины [350507] ;7000;;;
; Йогуртницы [50002535] ;1100;;;
; Электрические скороварки [50013009];1500;;;
; Грили [50008366] ;2100;;;
; Мясорубки [50013039];1600;;;
; Миксеры [50004399];1000;;;
; Электрорисоварки [50013008];1000;;;
; Яйцеварки/Пароварки [50002898];1000;;;
; Электротермосы [50013007];1000;;;
; Соковыжималки [50018218];1000;;;
; Аэрогрили [50015397];1500;;;
; Хлебопечи и тостеры [50000013] ;1000;;;
; Овощечистки [50006845];500;;;
; Таймеры/Электрические напоминатели [350709];500;;;
; Хлеб [50018103] ;700;;;
; Духовки [50002894] ;5500;;;
; Диспенсеры для воды [50002893];600;;;
; Электрические блинницы/Для французских блинов [50004363] ;1100;;;
; Микроволновые печи [50002809];6000;;;
; Индукционные печи [350502];6000;;;
; Соковыжималка для соевых бобов [50008556];4000;;;
; Электрические пароварки [50013010];1200;;;
; Электрические кастрюли для подогрева [50012960] ;1200;;;
; Фильтры для воды [350504] ;1000;;;
; Электропечь для тушения/приготовления каш [50013011] ;1200;;;
; Электроварки [50008368];3200;;;
; Электрические чайники [50003695] ;5500;;;
; Фонтаны для шоколада [50013037] ;1600;;;
; Машинка для нарезки лапши [50006844] ;1600;;;
; Машины для попкорна [50002532] ;5200;;;
; МФУ-техника для завтраков [50003465];2200;;;
; Тостеры и бутербродницы [50003464] ;1200;;;
; Электрическая сковорода вок [50011733] ;1600;;;
; Фритюрницы [50003987] ;1100;;;
; Жарочные панели [50004402] ;2000;;;
; Разогреватель ланч-боксов [50008369] ;700;;;
; Измельчитель пищевых отходов [50002896] ;6000;;;
; Керамические электрочайники [50005929] ;1600;;;
;;;;;
;;;;;
;;;;;
;;;;;
8;;;;;
;;;;;
; USB-коврик для мыши с подогревом [50018926];400;;;
; Прочие периферийные устройства [50018935];400;;;
; USB-хабы [110219];400;;;
; USB-вентиляторы [50018922];500;;;
; USB-подушки / USB-перчатки / USB-тапки [50018927] ;450;;;
; Лампы USB [50018917] ;400;;;
; Лазерные указки [50018921] ;400;;;
; USB-пылесосы для клавиатуры [50018930] ;400;;;
; Удлинительные USB-кабели [50018936];400;;;
; USB-перчатки с подогревом [50018925];400;;;
; USB-подушки с подогревом [50018915];400;;;
; USB-подставки для чашек с подогревом [50018916] ;500;;;
; USB-массажеры [50018913] ;500;;;
; USB-увлажнители воздуха [50018923];500;;;
; USB-телефоны / IP телефония [50018918] ;500;;;
; Мини-холодильники USB [50018924];500;;;
; Универсальные зарядные устройства USB [50018920];300;;;
; USB от насекомых [50018934] ;300;;;
; USB-аксессуары [50018914] ;400;;;
; USB-блокировка [50018919];300;;;
; MSN гаджеты [50018910];400;;;
; USB-пепельницы [50018931];400;;;
; USB-шредеры [50018929];500;;;
; USB-собачки [50018912] ;300;;;
;;;;;
;;;;;
; Камеры наблюдения [50006727];1300;;;
; Инфракрасные камеры [50021067];1300;;;
; Сетевая камера [50021069];1300;;;
; Камеры [50021064] ;1300;;;
;Купол [50021068] ;1300;;;
;;1300;;;
; Купольная камера [50021065] ;1300;;;
;;1300;;;
;;1500;;;
;;;;;
;;;;;
;;500;;;
; Гарнитуры и аксессуары [120802];400;;;
; MP3/MP4 наушники [50023280] ;300;;;
; Зарядные устройства [50005263];100;;;
;MP4 протектор экрана [50006247];100;;;
; Держатели MP3 плеера и телефона [50005265];300;;;
;Зажим для гарнитуры [50021704] ;100;;;
; MP3/MP4 чехлы [50023278];200;;;
; FM/MP3 передатчик [50005262];300;;;
; MP3/MP4 кабель [50023279];200;;;
; Ухо протектор [50023277] ;100;;;
; Аксессуары [50005268] ;200;;;
;;;;;
; Цифровые фоторамки [50008482] ;450;;;
; Mobile Power/Портативный аккумулятор [50009211] ;300;;;
;Мобильный платежный терминал [50050435];5000;;;
; ТВ-тюнеры / Беспроводные тюнеры [50011826] ;1000;;;
;;150;;;
; USB-модемы [111703];200;;;
; Кабели для цифровой техники [50003327] ;100;;;
; Сенсорный экран/ Перчатки [50025701];250;;;
;;;;;
;;;;;
;;;;;
;;;;;
9;Комплектующие к ПК / Периферия [307];;;;
;Видеокарты [110206];1000;;;
;ЖК мониторы [50008759] ;5000;;;
;Проводные мыши [50012307];500;;;
;Процессор [110203];500;;;
;Материнские платы [110201];500;;;
;Блок питания [50003848];4000;;;
;Кулеры [110215];1800;;;
;Беспроводная мышь [50012320];360;;;
;Оперативная память [110202] ;100;;;
;Звуковые карты [110205];500;;;
;Корпуса [110211];500;;;
;Жесткий диск [110207];1100;;;
;Фирменные ЖК-мониторы [110502] ;5000;;;
;Клавиатура [110210];350;;;
;SSD [50013151];280;;;
;Набор клавиатура+мышь [50002415] ;500;;;
;Чертежные доски и планшеты [110511] ;1900;;;
;;;;;
;Аксессуары для Tablet PC [50019041];200;;;
;DVD-приводы/ Переносные DVD-приводы [110212] ;1000;;;
;;;;;
;TV тюнеры [110216];500;;;
;Микрофоны для компьютера [50003336];500;;;
;;;;;
;;;;;
10;Где профиль;;;;
; Видеорегистраторы [50023120] ;800;;;
;;;;;
;Автомобильные DVD-проигрыватели/Навигация ;5000;;;
;Зеркало заднего вида GPS-навигаторы [50022746];1500;;;
; Подставка для GPS-навигаторов [50010726];320;;;
; Зарядное устройство для GPS-навигаторов [50010727];300;;;
;;;;;
;Автомобильные GPS-навигаторы [261704];1500;;;
;;;;;
;Автомобильные компьютеры [50008299];1500;;;
;Мониторы, встроенные в подголовники [50022879];1500;;;
; Автомобильные сканеры [50017907] ;300;;;
;Автомобильные мониторы [50022878] ;1200;;;
; Автомобильные усилители [50003796] ;300;;;
; Аксессуары для автомобильных аудиосистем [50022757] ;300;;;
;Автомагнитолы [50008297] ;1500;;;
;FM-трансмиттеры [261710] ;500;;;
;;;;;
;;;;;
;;;;;
;;;;;
11;Где профиль;;;;
; USB Flash [50012165];200;;;
; Съемные жесткие диски [110507] ;400;;;
; Карты памяти Micro SD/Флэш-карты [50012166];100;;;
; Карты памяти / Memory Stick [50012167];100;;;
;;;;;
;;;;;
;;;;;
;;;;;
12;Где профиль;;;;
; Электронные книги [50010731] ;800;;;
; E Обложка книги [50020183] ;200;;;
; Защитные чехлы [50020186] ;200;;;
; E ручка /ручка электромагнитная [50020181] ;100;;;
; Экран для электронной книг [50020185] ;300;;;
;Электронное зарядное устройство [50020184];200;;;
;;;;;
;;;;;
;;;;;
;;;;;
13;Многих профилей нет;;;;
;Руль [50012079];500;;;
;Геймпад [50012068];600;;;
;Домашние игры [50017906];1400;;;
;PSP игровые приставки [50017905];800;;;
;Джойстик [50012080];600;;;
;Аксессуары для Nintendo WII [1001];;;;
;Беспроводные джойстики (левые) [50018051];500;;;
;Танцевальный коврик [50018070];500;;;
;WII аксессуары [50018072];500;;;
;WII карты памяти [50018071] ;300;;;
;Гитара [50018057];700;;;
;Беспроводные джойстики (правые) [50018052];500;;;
;Прочие музыкальные игры и аксессуары [50018065] ;500;;;
;Джойстики для полетов [50018060];500;;;
;Бар у бассейна [50018066];1000;;;
;Спортивный Пакет [50018056];500;;;
;Гольф-клубы [50018064];500;;;
;Ракетки для пинг-понга [50018069] ;500;;;
;Лазерные ружья [50018050];1000;;;
;Коврики для йоги [50018059];500;;;
;Боксерские перчатки [50018068];500;;;
;Барабан [50018058];1000;;;
;Балансировочная доска для танцев/йоги [50018055];1000;;;
;Моторная лодка [50018061] ;500;;;
;Клюшка [50018063];1000;;;
;Световой меч [50018067] ;500;;;
;Комплектующие для джойстиков [50018062] ;500;;;
;Ускорители [50018054];500;;;
;Аксессуары для X-Box [1024];;;;
;Внешние HDD [50018086] ;600;;;
;Другие аксессуары [50018087] ;480;;;
;Блоки питания [50018084];500;;;
;Пульты управления для игр [50018083];480;;;
;Различные виды кабелей [50018085] ;500;;;
;Kinect корпуса датчика [50020220];500;;;
;Аксессуары для Sony PS [1031];;;;
;Другие специальные аксессуары [50018079];;;;
;Ручка [50018080];500;;;
;Host Пакет [50018078] ;500;;;
;Мини-вентиляторы [50018077];500;;;
;Зарядное устройство [50018073] ;600;;;
;Источники питания [50018081];500;;;
;Гитара [50018076];2900;;;
;Различные типы проводов [50018075];150;;;
;Аксессуары для Sony PS [1031];;;;
;Чехлы и футляры [50018092];300;;;
;Наушники [50018094] ;500;;;
;Различные виды проволоки [50018091];150;;;
;Другие аксессуары [50018095] ;1500;;;
;;;;;
;;;;;
;;;;;
;;;;;
14;Где профиль;;;;
; Наушники / гарнитура [50024944] ;300;;;
; Bluetooth-гарнитура [50005050] ;300;;;
;Телефонные гарнитуры [50005266];300;;;
;;;;;
;;;;;
;;;;;
;;;;;
15;где профиль;;;;
; Аудиосистемы Hi-Fi [121616];400;;;
; Оригинальная аудиотехника [50012148] ;400;;;
; Проигрыватели [50005009] ;400;;;
;Диктофоны / Гарнитуры / Беспроводные устройства [50008739];400;;;
; Наушники / Гарнитуры [1205];300;;;
; Наушники / Гарнитуры [50011867];300;;;
; Проигрыватель с жестким диском [50005174] ;400;;;
; Микрофоны / Мегафоны [50003318];400;;;
;Hi-Fi аксессуары [121705] ;500;;;
;;400;;;
; Кабели HDMI [50019649] ;400;;;
;;400;;;
;Микрофоны / Аксессуары для микрофонов [50016482];500;;;
; Флэш-карты / Батареи / Адаптеры питания [120611];400;;;
; Пульты дистанционного управления [50016107];400;;;
; Кабели VGA [50019650];400;;;
;;400;;;
; Сценическое оборудование [50020192];1500;;;
;;400;;;
;;;;;
;;;;;
;;;;;
;;;;;
16;Где профиль;;;;
; MP3 / MP4 / iPod / Диктофоны [1201];400;;;
; MP3 / MP4 - проигрыватели [50005051] ;400;;;
;;;;;
;;;;;
;;;;;
;;;;;
17;где профиль;;;;
; Принтеры [110514] ;1000;;;
; Проектор [111219];4700;;;
; Сейфы [50001718] ;5000;;;
; Сканеры [110501];700;;;
; Шредеры [211710] ;500;;;
; Копировальные аппараты [111201] ;2000;;;
;;500;;;
;;;;;
; Другие аксессуары для принтера [50012644];500;;;
; Чернильные картрижи для принтеров [50019241];500;;;
; Чипы для картриджей [50012623];100;;;
;Печатающая головка [50012624] ;290;;;
; Фотографические OPC [50012622];500;;;
; Материнские платы для принтеров [50012627] ;500;;;
;Ролик подачи/захвата бумаги [50012626] ;500;;;
;Блок питания принтера [50012633] ;500;;;
; Барабан для термолампы [50012625] ;500;;;
; Прижимной ролик [50012628];500;;;
;Другие комплектующие для лазерного принтера [50012630];500;;;
; Адаптер питания принтера [50012634] ;200;;;
;Терморолик [50012631];300;;;
;Материнские платы для лазерного принтера [50012632];500;;;
; Принт-сервера [50018855];500;;;
;Датчики [50012638] ;500;;;
;Разделитель для принтера [50012629];500;;;
;;500;;;
; Оборудование для фотолабораторий [50006267] ;500;;;
;Термовал [50012637] ;1000;;;
; Комплектующие для печки принтера [50012636];500;;;
; Шестеренки и приводы [50012639];500;;;
; Ролик переноса [50012641] ;500;;;
;Направляющие/проводящие ролики [50012642] ;500;;;
;Рукава на ролики [50012640];500;;;
; Датчик бумаги [50012643];500;;;
;;;;;
;;;;;
; Бумага для ксерокопирования [50012698];500;;;
;Фотобумага [50012696];500;;;
; Бумага для печати штрих-кодов [50019252];500;;;
; Гербовая бумага [50012697];500;;;
; Офисная бумага [50012699];500;;;
; Бумага для струйной печати [50012700];500;;;
;Бумага для кассовых аппаратов [50012704] ;500;;;
; Бумага для факса [50012703];300;;;
;Грубая оберточная бумага [50021236] ;500;;;
; Упаковочная бумага [50021242];3200;;;
; Цветной картон [50021202] ;500;;;
; Бумажные мешки и пакеты/Бумажные стаканы [50021203] ;500;;;
; Бумага для нанесения товарных знаков/Бумага для этикеток [50021238];3200;;;
; Бумажные наклейки [50021296] ;200;;;
; Крафт-бумага [50021199];500;;;
;Пергамент /Влагостойкая бумага [50021204];500;;;
;Гофрированная бумага [50021200] ;500;;;
; Целлофан [50021205];500;;;
; Картон [50021201];500;;;
;;;;;
;;;;;
;АТС [150802] ;1000;;;
;Факсы [111202] ;1000;;;
;Другое оборудование связи [150805] ;500;;;
; Офисные телефоны [50019471];500;;;
; Комплектующие для факсов [50012605];500;;;
;Автоответчики [150804];500;;;
;Прочее оборудование связи [50012615] ;500;;;
;Оборудование для конференций [50009078];500;;;
;Телефонная система управления [150809];500;;;
; Пейджинговое оборудование [50003366];500;;;
;Факс-сервер [50010687] ;1000;;;
;Таксофонная/Магнитная телефонная карточка [150807];500;;;
;;;;;
;;;;;
; Различные виды кабеля [50018947] ;500;;;
; Материалы для крупногабаритной упаковки [50021288];500;;;
; Стяжки, фиксаторы [50021289] ;300;;;
; Кабельные стяжки [50021292] ;200;;;
; Нейлоновая веревка [50021293];500;;;
; Веревки, лямки и хомутики для багажа [50021290] ;500;;;
;;;;;
;;;;;
;;280;;;
;;300;;;
;;500;;;
;;500;;;
;;;;;
;;;;;
;Лампы для проекторов [50008353];500;;;
;Экраны [50008354] ;5000;;;
; Аксессуары для проекторов [50008358];500;;;
; ПДУ для проектора [50010849] ;300;;;
; Консоли и подставки для проекторов [50010847];500;;;
;Комплектующие для проекторов [50008356] ;1500;;;
;Интерактивные доски [50018939];5000;;;
; Штативы для проектора [50010848] ;700;;;
;Объективы для проекторов [50008355] ;500;;;
;Flip Лазерная указка [50022574] ;500;;;
;Прозрачные пленки [50018938];500;;;
;;;;;
;;;;;
; МФУ [111204] ;1000;;;
; Лотки подачи бумаги [50012603] ;500;;;
; Трафарет дубликатора [50018849] ;1000;;;
;;;;;
;;;;;
; Счетчики денег [111215];1000;;;
; Оборудование для магазинов [111220];500;;;
; POS-оборудование [50012606];500;;;
;Электронные указки и ручки [50010586] ;500;;;
;Счетчики банкнот [50012613];1000;;;
;;;;;
;;;;;
; Машины для сканирования штрих-кодов [50008332] ;5000;;;
; Сканеры штрих-кодов [50012616] ;500;;;
; Карточка IC [121472005] ;500;;;
; Маркировка / Принтеры штрих-кода [50008335] ;500;;;
; Считыватели магнитных карт [50019282] ;500;;;
; Сборщики данных [50019232] ;500;;;
;;500;;;
;;;;;
;Аксессуары для плоттеров и резательных машин [50012612] ;500;;;
;;;;;
;;;;;
;;;;;
;;;;;
18;где профиль;;;;
; Роутеры и машрутизаторы [50019336];1700;;;
;Беспроводная сетевая карта [110209] ;100;;;
;Сетевые коммутаторы [110805] ;500;;;
; Цифровое кабельное [50020174] ;500;;;
;ADSL оборудование [50016213];400;;;
; Беспроводной маршрутизатор 3G [50022650] ;700;;;
; Шлюз [50016214];500;;;
; Блоки питания для маршрутизаторов [50019812];500;;;
;;;;;
; Оптико-волоконный коммутационный шнур (патч-корд) [50016191];500;;;
; Волоконный разветвитель [50016193] ;500;;;
; Опто-волоконные устройства [50016190];500;;;
;Оптико-волоконная распределительная коробка [50016192] ;500;;;
; Прочее оптико-волоконное оборудование [50016194] ;5000;;;
;;;;;
;;;;;
; Записывающие устройства [50019496];1000;;;
; Камеры [50019495];280;;;
; Веб-камеры [50016205] ;500;;;
; Периферийное оборудование [50019499] ;500;;;
; Дисплеи для видеонаблюдения [50019498];1000;;;
;;;;;
;;;;;
; Комплексная проводки [50019362] ;500;;;
; Сетевые кабели [50019368] ;500;;;
;Кабели и витые пары [50019363];500;;;
; PDU распределения питания [50019364] ;500;;;
; Прецизионное кондиционирование воздуха [50019365];500;;;
;;;;;
;;;;;
; RAID карта [50016197];1000;;;
; Сетевое хранение данных SAN [50019356];5000;;;
; KVM-переключатели [50019359];1000;;;
; SCSI карты [50024145] ;300;;;
; SCSI-карта [50016198];300;;;
; Дисковый массив [50019354] ;1000;;;
; Комплектующие для SCSI-интерфейса [50016199] ;500;;;
; Расширители сети [50019360] ;500;;;
; Внешние жесткие диски [50019358];600;;;
; Сетевые хранилища и накопители NAS [50019355] ;500;;;
; Прочие сетевые устройства хранения данных [50016202] ;500;;;
;Сетевые устройства для хранения данных [50019357] ;;;;
;;;;;
;;;;;
; Роутеры с дополнительной защитой [50019344] ;700;;;
; Брандмауэры [50016220] ;1000;;;
;Физическая изоляция безопасности [50019348];500;;;
; Безопасность интрасети [50019349] ;500;;;
; Беспроводные устройства UTM [50019345];500;;;
;;;;;
;;;;;
; Видеоконференцсвязь [50019511] ;500;;;
;Аудио и конференц-системы [50019515] ;500;;;
; ТВ стены и консоли [50019514];1000;;;
;Центральная система управления [50019513] ;1000;;;
;;;;;
;;;;;
; Антенна системы [50019310];300;;;
; ПА [50019312] ;500;;;
;;;;;
;;500;;;
; Мультиметры [50016448];500;;;
; Кусачки [50016209];700;;;
; Kit [50016447];500;;;
; Сетевой тестер [50016208] ;1000;;;
;Статив MDF [50016206];500;;;
;Наборы отверток [50016446] ;700;;;
;Бездисковые рабочие станции [50018265] ;1000;;;
;Кримпер [50016210] ;700;;;
; Корпуса для сетевого оборудования [50016204] ;500;;;
; Компьютерные дополнения [50016207] ;500;;;
;;;;;
;;;;;
;;;;;
;;;;;
19;Компьютеры / Серверы [992];;;;
;Настольный компьютер [50008351] ;5000;;;
;Системные блоки [110308] ;3300;;;
;Сервера [50010605];3500;;;
;Мониторы [50018323];2000;;;
;Машина тела DIY [124046001] ;2000;;;
;Рабочие станции [50010613];3000;;;
;;;;;
;;;;;
;;;;;
;;;;;
20;Где профиль;;;;
;;100;;;
;;100;;;
;;350;;;
;;500;;;
;;;;;
;;;;;
;;;;;
;;;;;
21;Где профиль;;;;
;;;;;
; Солнечный модуль [50020604] ;3200;;;
; Солнечное зарядное устройство [50020603] ;1400;;;
; Солнечный свет [50020605] ;500;;;
;;;;;
;;;;;
;Камеры [50021064];5000;;;
;Камеры наблюдения [50006727] ;5000;;;
;Инфракрасные камеры [50021067] ;1500;;;
;Сетевая камера [50021069] ;5000;;;
;Купольная камера [50021065] ;400;;;
;Камеры [50021066];400;;;
;Купол [50021068];5000;;;
;Моделирование камеры [50021070];5000;;;
